key,red1,red2,red3,blue1,blue2,blue3,red_score,blue_score
2018aroz_qm10,5006,9002,5930,5437,3937,5454,224,259
2018aroz_qm11,6640,6055,9001,5729,4635,5045,386,53
2018aroz_qm12,7123,5568,7075,16,4356,323,106,423
2018aroz_qm13,5729,5437,9002,5045,5454,6055,143,258
2018aroz_qm14,5568,323,16,9001,5006,4635,410,131
2018aroz_qm15,7123,3937,4356,5930,6640,7075,378,204
2018aroz_qm16,5006,5045,323,16,5729,9001,303,142
2018aroz_qm17,5437,7123,6640,7075,4356,9002,413,239
2018aroz_qm18,4635,6055,5930,3937,5454,5568,320,314
2018aroz_qm19,4356,5729,5006,323,5437,9001,215,410
2018aroz_qm2,6055,5006,4356,9001,9002,7123,310,126
2018aroz_qm20,6640,9002,5454,5045,5930,5568,244,320
2018aroz_qm21,3937,4635,16,6055,7075,7123,514,147
